day,p5,p25,p50_median,p75,p95,mean,initial_value
172,96713.15007590158,102478.45437868293,106678.92824804725,111228.20259473342,118092.43652004462,106964.27634953613,100000.0
173,96721.23291170623,102485.00522947978,106748.22674360013,111296.92807531232,118082.13633359222,107013.542907097,100000.0
174,96728.01211322723,102566.91997614296,106736.95826429928,111363.14111103851,118231.45983462484,107057.003893861,100000.0
175,96720.32120557647,102604.27385050917,106759.56935716873,111435.20654346954,118323.43443173362,107103.5574030621,100000.0
176,96839.78818679643,102598.9111059184,106860.46007284164,111480.23915936943,118374.57003019679,107137.54423033686,100000.0
177,96813.46064993463,102584.54687791526,106904.42755130131,111557.47310554366,118433.61412774629,107183.55985234366,100000.0
178,96828.07151279904,102600.3539606219,106948.21022559179,111633.6973319906,118501.94003122752,107222.49015337166,100000.0
179,96741.6795680405,102652.6386143435,107010.94249118422,111665.2616969804,118634.06875672593,107268.34901404908,100000.0
180,96746.28740534969,102646.16101736015,107029.10055066276,111740.84948604555,118854.23803427916,107311.51887222198,100000.0
181,96703.56524102656,102693.18974474742,107081.23161007342,111730.00010105307,118843.97633658769,107345.69695712457,100000.0
182,96750.86800437546,102736.87129767414,107100.00538286849,111801.96968742722,118938.75248047162,107387.59029312372,100000.0
183,96783.7075567115,102747.06564137238,107187.88843489921,111799.22556604797,118955.19289266918,107427.75751097436,100000.0
184,96817.81088472261,102808.85543035215,107255.80072836425,111905.30078105623,119032.11527737201,107475.46227773295,100000.0
185,96841.38952437109,102796.87934252694,107253.53694689063,111910.07617035616,119212.11849552234,107513.82079270139,100000.0
186,96775.68284509645,102845.78271634983,107313.97894298486,111999.3659523257,119260.37552094828,107564.66635365358,100000.0
187,96788.06709806628,102834.99422362773,107326.99201737913,112047.42664441212,119406.95211355208,107605.26320878578,100000.0
188,96824.81247359177,102914.46567831839,107420.71436172556,112151.0681563121,119483.39829508355,107650.50693206296,100000.0
189,96916.89532812781,102930.26614451426,107465.9877272471,112143.98497448151,119477.85910886891,107689.07869189224,100000.0
190,96942.74673221831,102919.1910088032,107478.51049500972,112196.50859122112,119501.44090439013,107733.11645420855,100000.0
191,96953.26013974963,102966.87798844573,107513.39748742324,112294.55490016998,119587.29170516235,107783.05524665225,100000.0
192,97026.21162219516,103007.605621339,107564.01665672212,112331.60208110574,119506.26552905006,107818.73720993471,100000.0
193,97062.50505038432,103047.70256939405,107590.385068767,112377.90848482342,119659.36971777992,107862.39199348305,100000.0
194,97067.8942553551,103063.62936842888,107634.6680433569,112417.22969366217,119756.91732994792,107916.20127428997,100000.0
195,97083.95474266789,103091.31340034926,107669.13531633443,112477.28203479726,119928.0546967665,107960.7836189797,100000.0
196,97045.89114820687,103186.0341241264,107724.41542350041,112567.17349466286,119918.46052926374,108010.37401163773,100000.0
197,96997.15648377505,103184.48908743123,107768.41319354116,112617.36403587097,120031.25749996197,108046.9794007659,100000.0
198,97067.07693845934,103248.00492493638,107799.41888170398,112698.4350222282,120052.81667447326,108092.87151555462,100000.0
199,97019.9773766724,103250.23425787453,107822.8366933935,112683.30424257954,120212.01148854829,108133.5139673131,100000.0
200,97069.74228178694,103282.09968517424,107868.57922852939,112742.78278085604,120287.67750818108,108178.36103303671,100000.0
201,97168.85176998602,103296.83659635036,107927.03125255358,112841.49177618056,120457.69778433703,108219.58477303009,100000.0
202,97153.0588736269,103322.5192773797,107941.67873372498,112865.03660718194,120505.67744066313,108254.7377373724,100000.0
203,97127.13653540888,103329.46375679798,108016.35881320799,112907.31486870226,120616.6163429914,108297.80804038107,100000.0
204,97152.7079255782,103364.71458643267,108038.46041974181,112944.32480502647,120749.84411625908,108348.69261511145,100000.0
205,97124.12307647457,103422.31694150197,108113.59375694077,113019.50859990745,120784.17673327812,108396.6981535232,100000.0
206,97163.59651795683,103466.22904425937,108120.6864678475,113015.77901370713,120923.17981166045,108427.25586917062,100000.0
207,97187.78138928911,103434.32055596454,108176.37474662537,113104.60070212494,120947.02585471909,108467.27955745487,100000.0
208,97240.09628858678,103493.33158354061,108185.16160010183,113183.11583996339,120962.3796750334,108510.50508284711,100000.0
209,97289.44637642225,103530.35516446759,108201.40098953436,113232.76229472242,121003.47745731552,108554.19949411572,100000.0
210,97300.34545417641,103561.56309432426,108266.80802640601,113249.63799731768,120955.8991195473,108591.966154109,100000.0
211,97320.23217956777,103556.52279412138,108333.76790276454,113353.94592560045,121167.64116009281,108638.32542797322,100000.0
212,97225.52782375754,103624.04812811095,108397.5687215463,113427.02502066942,121283.2645493397,108687.98535600987,100000.0
213,97232.71007423109,103667.25574539012,108419.89296683918,113463.97093404186,121332.02638975234,108732.58526745357,100000.0
214,97286.4019678111,103720.53938996911,108405.45610881274,113558.30567849016,121530.12984742393,108776.0571496595,100000.0
215,97312.35402135087,103701.64288673269,108488.48434793807,113608.23839954445,121551.29700188829,108817.74231206194,100000.0
216,97221.07759311877,103711.54652985896,108550.41457114302,113656.16046374681,121513.31157973538,108852.12591351222,100000.0
217,97239.15296845985,103751.92160188338,108579.2970638868,113692.90289758638,121585.3322961649,108894.07178737283,100000.0
218,97242.10744097042,103822.67445819647,108576.63748605669,113751.58914731123,121644.83344362579,108935.55673457257,100000.0
219,97205.41226647963,103821.44208597655,108597.2739284204,113854.93070379956,121747.6532078025,108978.96670253041,100000.0
220,97204.23726213998,103847.18971175764,108692.56563064476,113912.88339020024,121854.35410065237,109026.05299673774,100000.0
221,97268.91559038789,103917.80471037353,108717.74304972598,113929.78626894686,121950.48418714479,109077.2020828396,100000.0
222,97210.3587685674,103952.99060714002,108772.83910356267,114007.37950180759,122016.51273751102,109118.70088323481,100000.0
223,97255.59130936851,103973.39765227633,108769.72548354106,114076.55894642319,122070.17896395137,109161.55346170023,100000.0
224,97217.55364522917,103995.22432896875,108832.53212168242,114134.90920651564,122155.53228673071,109208.22329126314,100000.0
225,97184.2430231515,104002.23116709401,108894.43916584292,114161.93713248812,122332.6889395915,109246.14722971058,100000.0
226,97216.58578571661,104017.62050587378,108966.06561845492,114236.75872687311,122353.94917756002,109292.22345242323,100000.0
227,97220.78613634693,104057.02335837668,109023.46252519381,114262.59200916947,122369.96156476987,109326.79808302407,100000.0
228,97149.5728805779,104067.56422696615,109059.5310691096,114317.50415936235,122451.64337423809,109376.94178877492,100000.0
229,97302.37914486208,104108.20524247436,109083.92173604656,114365.83605963927,122603.84770985339,109420.86870028135,100000.0
230,97300.18127536913,104174.20285425674,109137.67203375045,114384.46519610047,122691.83972309263,109460.75975808516,100000.0
231,97325.40773405321,104158.23320763072,109185.82268677969,114457.79459155015,122773.80646463075,109502.70506349587,100000.0
232,97402.51585401001,104120.636698605,109232.57342521133,114553.44363384016,122816.70525578922,109545.17812425816,100000.0
233,97334.06233270695,104169.74743333568,109282.20572338815,114556.88625217346,122866.81917770002,109588.6855715458,100000.0
234,97397.29345565596,104200.36283764521,109308.71242631771,114633.45483835819,122983.02600011542,109631.43144141714,100000.0
235,97415.81447016104,104205.39815899568,109332.95673742174,114722.2402730622,123044.84177775106,109676.13366717282,100000.0
236,97427.06863080336,104272.81179521017,109399.70271388453,114740.75747221055,123186.34028596734,109716.03765891783,100000.0
237,97415.67231572344,104296.90769101019,109440.32610723787,114805.94698745488,123239.59949161214,109760.6344917763,100000.0
238,97313.72464687015,104348.11250131499,109457.27856271005,114875.96471846869,123256.56419144484,109810.47819664054,100000.0
239,97377.11223770952,104414.84650148897,109557.8765012552,114898.64737564983,123335.21691339211,109860.61909113104,100000.0
240,97367.08086391988,104417.55821898009,109586.23296595034,114979.964347825,123352.60404577185,109896.20081552067,100000.0
241,97369.89002761716,104454.56792905519,109651.64879840324,115052.40129084201,123428.26643308846,109940.64127933711,100000.0
242,97357.07434610948,104466.38300212332,109668.59947072994,115142.04305540075,123545.51467337819,109990.13453455741,100000.0
243,97470.97258818935,104532.75580939329,109696.42154241522,115211.57182376969,123678.47027230973,110038.75892111905,100000.0
244,97486.00292193946,104496.85610696675,109701.2787204489,115323.33239979511,123739.67920225141,110079.125906987,100000.0
245,97426.25928272378,104558.86792065347,109779.19646205258,115392.63913903158,123763.46953679628,110121.83502394929,100000.0
246,97501.42970177226,104528.26288172363,109848.1463956069,115462.73937483465,123902.56241407842,110166.84756978789,100000.0
247,97503.19655084936,104592.10104420372,109855.46047624157,115495.56501573726,124094.34991460621,110213.27405778217,100000.0
248,97506.92952787442,104621.89547287425,109934.42778676355,115513.1319905226,124049.77734194639,110254.68547626726,100000.0
249,97453.34568331145,104659.195890637,109942.20027990841,115536.58722219439,124091.67327027183,110290.7941664247,100000.0
250,97410.76981325804,104677.22550157644,110079.42535606641,115596.59290310828,124173.51963931584,110344.90034509668,100000.0
251,97493.79924781581,104713.99805582785,110075.59710076914,115670.17982734044,124253.89894135545,110391.7481187889,100000.0
252,97525.9329336391,104779.56910172018,110121.83776940044,115716.16684761981,124421.16453252516,110440.9529223481,100000.0
