Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-12-01,189.2737274169922,368.1678466796875,130.7790985107422,147.02999877929688,238.8300018310547
2023-12-04,187.4823455810547,362.8887634277344,128.21034240722656,144.83999633789062,235.5800018310547
2023-12-05,191.4313201904297,366.2115173339844,129.91624450683594,146.8800048828125,238.72000122070312
2023-12-06,190.34263610839844,362.5545349121094,128.95419311523438,144.52000427246094,239.3699951171875
2023-12-07,192.27256774902344,364.6680908203125,135.8075408935547,146.8800048828125,242.63999938964844
2023-12-08,193.69776916503906,367.892578125,133.88345336914062,147.4199981689453,243.83999633789062
2023-12-11,191.19378662109375,365.0121765136719,132.1973876953125,145.88999938964844,239.74000549316406
2023-12-12,192.7080841064453,368.0400085449219,131.43370056152344,147.47999572753906,237.00999450683594
2023-12-13,195.92465209960938,368.0301818847656,131.48330688476562,148.83999633789062,239.2899932861328
2023-12-14,196.07308959960938,359.7331237792969,130.85845947265625,147.4199981689453,251.0500030517578
2023-12-15,195.53863525390625,364.4518737792969,131.51304626464844,149.97000122070312,253.5
2023-12-18,193.87591552734375,366.3393249511719,134.68679809570312,154.07000732421875,252.0800018310547
2023-12-19,194.91510009765625,366.9389953613281,135.5298309326172,153.7899932861328,257.2200012207031
2023-12-20,192.82681274414062,364.3436584472656,137.2060089111328,152.1199951171875,247.13999938964844
2023-12-21,192.6783447265625,367.2142333984375,139.26895141601562,153.83999633789062,254.5
2023-12-22,191.6094512939453,368.2366027832031,140.33018493652344,153.4199981689453,252.5399932861328
2023-12-26,191.06512451171875,368.3153076171875,140.35997009277344,153.41000366210938,256.6099853515625
2023-12-27,191.1641082763672,367.73529052734375,139.2193603515625,153.33999633789062,261.44000244140625
2023-12-28,191.58969116210938,368.9247741699219,139.08050537109375,153.3800048828125,253.17999267578125
2023-12-29,190.55044555664062,369.671875,138.54493713378906,151.94000244140625,248.47999572753906
2024-01-02,183.73130798339844,364.5894470214844,137.03738403320312,149.92999267578125,248.4199981689453
2024-01-03,182.3555908203125,364.32403564453125,137.78123474121094,148.47000122070312,238.4499969482422
2024-01-04,180.03965759277344,361.70904541015625,135.27198791503906,144.57000732421875,237.92999267578125
2024-01-05,179.31716918945312,361.5223083496094,134.6173858642578,145.24000549316406,237.49000549316406
2024-01-08,183.65213012695312,368.3447570800781,137.701904296875,149.10000610351562,240.4499969482422
2024-01-09,183.23643493652344,369.4261779785156,139.7946014404297,151.3699951171875,234.9600067138672
2024-01-10,184.27566528320312,376.2878723144531,141.11370849609375,153.72999572753906,233.94000244140625
2024-01-11,183.6818389892578,378.116455078125,140.91534423828125,155.17999267578125,227.22000122070312
2024-01-12,184.00843811035156,381.89141845703125,141.4806671142578,154.6199951171875,218.88999938964844
2024-01-16,181.74200439453125,383.66094970703125,141.3219757080078,153.16000366210938,219.91000366210938
2024-01-17,180.8017578125,382.87445068359375,140.31033325195312,151.7100067138672,215.5500030517578
2024-01-18,186.6905975341797,387.1999816894531,142.30384826660156,153.5,211.8800048828125
2024-01-19,189.59042358398438,391.918701171875,145.1800994873047,155.33999633789062,212.19000244140625
2024-01-22,191.896484375,389.7952575683594,144.7932891845703,154.77999877929688,208.8000030517578
2024-01-23,193.17320251464844,392.1448059082031,145.83470153808594,156.02000427246094,209.13999938964844
2024-01-24,192.50021362304688,395.7428283691406,147.48106384277344,156.8699951171875,207.8300018310547
2024-01-25,192.17359924316406,398.013671875,150.6250762939453,157.75,182.6300048828125
2024-01-26,190.44158935546875,397.0896301269531,150.9424591064453,159.1199951171875,183.25
2024-01-29,189.7586669921875,402.78155517578125,152.2516326904297,161.25999450683594,190.92999267578125
2024-01-30,186.1066436767578,401.670654296875,150.2184600830078,159.0,191.58999633789062
2024-01-31,182.50405883789062,390.84710693359375,138.95156860351562,155.1999969482422,187.2899932861328
2024-02-01,184.93875122070312,396.942138671875,140.0028839111328,159.27999877929688,188.86000061035156
2024-02-02,183.9391632080078,404.25616455078125,141.21287536621094,171.80999755859375,187.91000366210938
2024-02-05,185.75033569335938,398.78045654296875,142.50221252441406,170.30999755859375,181.05999755859375
2024-02-06,187.35365295410156,398.6231689453125,142.91879272460938,169.14999389648438,185.10000610351562
2024-02-07,187.46255493164062,407.0382080078125,144.34695434570312,170.52999877929688,187.5800018310547
2024-02-08,186.38377380371094,407.09716796875,144.71395874023438,169.83999633789062,189.55999755859375
2024-02-09,187.14682006835938,413.4281005859375,147.7786102294922,174.4499969482422,193.57000732421875
2024-02-12,185.46212768554688,408.22772216796875,146.32064819335938,172.33999633789062,188.1300048828125
2024-02-13,183.37115478515625,399.43914794921875,143.95025634765625,168.63999938964844,184.02000427246094
2024-02-14,182.48919677734375,403.2998962402344,144.7436981201172,170.97999572753906,188.7100067138672
2024-02-15,182.2018280029297,400.4141540527344,141.5996856689453,169.8000030517578,200.4499969482422
2024-02-16,180.665771484375,397.95196533203125,139.3681182861328,169.50999450683594,199.9499969482422
